K. Tidur,K. Mandi,L. Tanah,L. Bangunan,Tipe Properti,Sertifikat,price_juta,installment_juta,kecamatan,provinsi,Longitude,Latitude,num_facilities,outdoor_facilities,ac,security,laundry,park,published_date,num_char_desc,no_banjir,transportation
2.0,1.0,43.0,46.0,Rumah,SHM - Sertifikat Hak Milik,650.0,4.0,Jagakarsa,Jakarta Selatan,106.81917593837187,-6.3244486,6,1,0,1,0,0,2022-09-14,675,0,1
4.0,2.0,72.0,83.0,Rumah,HGB - Hak Guna Bangunan,607.0,4.0,Tebet,Jakarta Selatan,106.8499443,-6.226728,5,1,1,1,0,0,2022-09-13,578,0,1
2.0,1.0,51.0,48.0,Rumah,SHM - Sertifikat Hak Milik,450.0,3.0,Pasar Minggu,Jakarta Selatan,106.8449405,-6.2826745,1,1,0,0,0,0,2022-10-03,403,0,1
,,,,Rumah,,799.0,5.0,Jagakarsa,Jakarta Selatan,106.81917593837187,-6.3244486,1,0,0,0,0,0,2022-10-10,987,1,1
2.0,1.0,88.0,52.0,Rumah,SHM - Sertifikat Hak Milik,615.0,4.0,Cirendeu,Jakarta Selatan,106.7736719,-6.3042504,9,1,0,1,1,0,2022-10-09,729,0,0
,,22.0,38.0,Rumah,SHM - Sertifikat Hak Milik,320.0,2.0,Tanjung Barat,Jakarta Selatan,106.838831,-6.3084835,1,0,0,0,0,0,2022-10-09,266,0,1
2.0,2.0,63.0,55.0,Rumah,SHM - Sertifikat Hak Milik,731.0,5.0,Cirendeu,Jakarta Selatan,106.7736719,-6.3042504,9,1,1,1,1,0,2022-10-09,342,0,1
3.0,2.0,64.0,60.0,Rumah,SHM - Sertifikat Hak Milik,655.0,4.0,Lenteng Agung,Jakarta Selatan,106.8345262,-6.3299493,16,1,1,1,1,1,2022-10-09,967,1,1
,,,,Rumah,,655.0,4.0,Lebak Bulus,Jakarta Selatan,106.78035387188287,-6.3025678,15,1,1,1,1,0,2022-10-09,879,1,1
,2.0,60.0,48.0,Rumah,SHM - Sertifikat Hak Milik,600.0,4.0,Bintaro,Jakarta Selatan,106.76086179531401,-6.271392799999999,2,1,0,0,0,0,2022-10-03,1061,0,1
1.0,2.0,60.0,50.0,Rumah,SHM - Sertifikat Hak Milik,700.0,5.0,Jati Padang,Jakarta Selatan,106.83008444880369,-6.28900155,1,0,0,0,0,0,2022-10-03,244,0,0
3.0,2.0,60.0,48.0,Rumah,SHM - Sertifikat Hak Milik,600.0,4.0,Bintaro,Jakarta Selatan,106.76086179531401,-6.271392799999999,2,1,0,0,0,0,2022-10-03,1061,0,1
1.0,1.0,30.0,25.0,Rumah,SHM - Sertifikat Hak Milik,370.0,2.0,Jati Padang,Jakarta Selatan,106.83008444880369,-6.28900155,1,0,0,0,0,0,2022-10-03,214,0,0
2.0,1.0,72.0,38.0,Rumah,SHM - Sertifikat Hak Milik,550.0,3.0,Cirendeu,Jakarta Selatan,106.7736719,-6.3042504,11,1,1,1,0,0,2022-10-03,2029,0,1
3.0,2.0,60.0,48.0,Rumah,SHM - Sertifikat Hak Milik,600.0,4.0,Bintaro,Jakarta Selatan,106.76086179531401,-6.271392799999999,2,1,0,0,0,0,2022-10-03,1061,0,1
2.0,2.0,40.0,80.0,Rumah,SHM - Sertifikat Hak Milik,600.0,4.0,Kalibata,Jakarta Selatan,106.83516420328567,-6.265332,1,0,0,0,0,0,2022-10-03,527,1,1
2.0,1.0,84.0,42.0,Rumah,SHM - Sertifikat Hak Milik,369.0,2.0,Lebak Bulus,Jakarta Selatan,106.78035387188287,-6.3025678,5,1,1,1,0,0,2022-06-19,836,0,1
,,113.0,100.0,Rumah,SHM - Sertifikat Hak Milik,550.0,3.0,Cilandak,Jakarta Selatan,106.79692637055228,-6.2897982,1,0,0,0,0,0,2022-06-13,562,0,1
3.0,2.0,42.0,37.0,Rumah,SHM - Sertifikat Hak Milik,783.0,5.0,Jagakarsa,Jakarta Selatan,106.81917593837187,-6.3244486,3,1,0,1,0,0,2022-06-12,645,0,1
4.0,3.0,310.0,400.0,Rumah,SHM - Sertifikat Hak Milik,700.0,5.0,Kebayoran Baru,Jakarta Selatan,106.800434,-6.2441457,8,1,1,1,0,0,2022-06-06,246,0,0
3.0,2.0,66.0,65.0,Rumah,SHM - Sertifikat Hak Milik,685.0,4.0,Jagakarsa,Jakarta Selatan,106.81917593837187,-6.3244486,7,1,1,1,0,0,2022-05-30,770,1,1
3.0,2.0,73.0,45.0,Rumah,SHM - Sertifikat Hak Milik,699.0,5.0,Bintaro,Jakarta Selatan,106.76086179531401,-6.271392799999999,3,1,1,0,0,0,2022-10-01,942,0,1
3.0,2.0,73.0,45.0,Rumah,SHM - Sertifikat Hak Milik,699.0,5.0,Bintaro,Jakarta Selatan,106.76086179531401,-6.271392799999999,3,1,1,0,0,0,2022-10-01,942,0,1
3.0,2.0,150.0,70.0,Rumah,SHM - Sertifikat Hak Milik,770.0,5.0,Pesanggrahan,Jakarta Selatan,106.75813307251978,-6.25861405,2,1,0,0,0,0,2022-08-05,201,0,0
2.0,2.0,100.0,60.0,Rumah,SHM - Sertifikat Hak Milik,480.0,3.0,Tanjung Barat,Jakarta Selatan,106.838831,-6.3084835,1,0,0,0,0,0,2021-12-11,489,1,1
2.0,1.0,45.0,40.0,Rumah,SHM - Sertifikat Hak Milik,550.0,3.0,Jagakarsa,Jakarta Selatan,106.81917593837187,-6.3244486,3,1,0,1,0,0,2021-11-26,396,1,0
2.0,2.0,40.0,40.0,Rumah,SHM - Sertifikat Hak Milik,575.0,4.0,Pondok Pinang,Jakarta Selatan,106.78040265070712,-6.275479150000001,1,0,0,0,0,0,2021-11-26,164,0,0
3.0,2.0,73.0,45.0,Rumah,SHM - Sertifikat Hak Milik,699.0,5.0,patra kuningan,Jakarta Selatan,106.8321603,-6.2325531,3,1,1,0,0,0,2022-09-29,942,0,1
3.0,2.0,60.0,45.0,Rumah,SHM - Sertifikat Hak Milik,650.0,4.0,Bintaro,Jakarta Selatan,106.76086179531401,-6.271392799999999,1,0,0,0,0,0,2022-09-29,977,0,1
3.0,2.0,73.0,45.0,Rumah,SHM - Sertifikat Hak Milik,699.0,5.0,Bintaro,Jakarta Selatan,106.76086179531401,-6.271392799999999,3,1,1,0,0,0,2022-09-28,942,0,1
3.0,2.0,73.0,45.0,Rumah,SHM - Sertifikat Hak Milik,699.0,5.0,Bintaro,Jakarta Selatan,106.76086179531401,-6.271392799999999,3,1,1,0,0,0,2022-09-28,942,0,1
3.0,2.0,73.0,45.0,Rumah,SHM - Sertifikat Hak Milik,699.0,5.0,Bintaro,Jakarta Selatan,106.76086179531401,-6.271392799999999,3,1,1,0,0,0,2022-09-28,942,0,1
3.0,2.0,73.0,45.0,Rumah,SHM - Sertifikat Hak Milik,699.0,5.0,Bintaro,Jakarta Selatan,106.76086179531401,-6.271392799999999,3,1,1,0,0,0,2022-09-28,942,0,1
3.0,2.0,73.0,45.0,Rumah,SHM - Sertifikat Hak Milik,699.0,5.0,Bintaro,Jakarta Selatan,106.76086179531401,-6.271392799999999,3,1,1,0,0,0,2022-09-28,942,0,1
3.0,2.0,73.0,45.0,Rumah,SHM - Sertifikat Hak Milik,699.0,5.0,Bintaro,Jakarta Selatan,106.76086179531401,-6.271392799999999,3,1,1,0,0,0,2022-09-28,942,0,1
3.0,2.0,73.0,45.0,Rumah,SHM - Sertifikat Hak Milik,699.0,5.0,Bintaro,Jakarta Selatan,106.76086179531401,-6.271392799999999,3,1,1,0,0,0,2022-09-28,942,0,1
3.0,2.0,60.0,50.0,Rumah,SHM - Sertifikat Hak Milik,800.0,5.0,Kebayoran Baru,Jakarta Selatan,106.800434,-6.2441457,4,1,0,1,0,0,2022-06-02,555,0,1
3.0,2.0,70.0,50.0,Rumah,SHM - Sertifikat Hak Milik,510.0,3.0,Pasar Minggu,Jakarta Selatan,106.8449405,-6.2826745,3,0,1,1,0,0,2022-06-02,148,0,1
3.0,2.0,91.0,45.0,Rumah,SHM - Sertifikat Hak Milik,500.0,3.0,Cilandak,Jakarta Selatan,106.79692637055228,-6.2897982,3,1,0,1,0,0,2022-05-18,699,0,1
2.0,1.0,60.0,36.0,Rumah,SHM - Sertifikat Hak Milik,300.0,2.0,Radio Dalam,Jakarta Selatan,106.7890556061061,-6.2556902,5,1,1,1,0,0,2022-05-12,756,0,1
2.0,1.0,60.0,36.0,Rumah,SHM - Sertifikat Hak Milik,300.0,2.0,Kuningan,Jakarta Selatan,106.8333715,-6.2406142,5,1,1,1,0,0,2022-05-12,756,0,1
2.0,1.0,60.0,36.0,Rumah,SHM - Sertifikat Hak Milik,300.0,2.0,Kebagusan,Jakarta Selatan,106.83197601947661,-6.309105049999999,4,1,1,1,0,0,2022-05-12,756,0,1
3.0,2.0,60.0,50.0,Rumah,SHM - Sertifikat Hak Milik,600.0,4.0,Lebak Bulus,Jakarta Selatan,106.78035387188287,-6.3025678,4,1,1,1,0,0,2022-05-12,1003,0,1
3.0,2.0,61.0,60.0,Rumah,SHM - Sertifikat Hak Milik,655.0,4.0,Jagakarsa,Jakarta Selatan,106.81917593837187,-6.3244486,5,1,1,0,0,0,2022-05-11,1180,1,1
